h1 > small: AAAS E-119, span #0: Chocolate, Culture, and the Politics of Food, span #1: Spring Term 2018 | CRN 24223, span #2: On campus with online option, span #3: Wednesdays, 5:30-7:30 pm, span #4: Byerly Hall 013, span #5: Jan. 24, 2018, span #6: Noncredit: $1550, span #7: Undergraduate credit: $1550, span #8: Graduate credit: $2700, span #9: Credits: 4
h1 > small: ANTH E-1000, span #0: Pyramid Schemes: The Archaeological History of Ancient Egypt, span #1: Spring Term 2018 | CRN 25007, span #2: Online only, span #3: On Demand, span #4: Jan. 23, 2018, span #5: Noncredit: $1550, span #6: Undergraduate credit: $1550, span #7: Graduate credit: $2700, span #8: Credits: 4
h1 > small: ANTH E-1050, span #0: Moctezuma's Mexico Then and Now: The Deep History, Triumphs, and Transformations of the Aztecs and their Descendants, span #1: Fall term 2017 | CRN 15416, span #2: Online only, span #3: On Demand, span #4: Sep. 1, 2017, span #5: Noncredit: $1550, span #6: Undergraduate credit: $1550, span #7: Graduate credit: $2700, span #8: Credits: 4
h1 > small: ANTH E-1168, span #0: Ancient Maya Art and Writing, span #1: Spring Term 2018 | CRN 25108, span #2: On campus only, span #3: Thursdays, 5:30-7:30 pm, span #4: Sever Hall 208, span #5: Jan. 25, 2018, span #6: Noncredit: $900, span #7: Undergraduate credit: $1550, span #8: Graduate credit: $2700, span #9: Credits: 4
h1 > small: ANTH E-1660, span #0: Anthropology and Human Rights, span #1: Spring Term 2018 | CRN 23622, span #2: On campus only, span #3: Wednesdays, 7:40-9:40 pm, span #4: William James Hall 105, span #5: Jan. 24, 2018, span #6: Noncredit: $900, span #7: Undergraduate credit: $1550, span #8: Graduate credit: $2700, span #9: Credits: 4
h1 > small: ANTH E-1700, span #0: Race in the Americas, span #1: January session | CRN 24416, span #2: On campus only, span #3: Mondays-Thursdays, 5:30-8:30 pm, span #4: Sever Hall 306, span #5: Jan. 2, 2018, span #6: Noncredit: $900, span #7: Undergraduate credit: $1550, span #8: Graduate credit: $2700, span #9: Credits: 4
h1 > small: APMA E-115, span #0: Mathematical Modeling, span #1: Spring Term 2018 | CRN 25077, span #2: Online only, span #3: On Demand, span #4: Jan. 23, 2018, span #5: Noncredit: $2700, span #6: Undergraduate credit: $2700, span #7: Graduate credit: $2700, span #8: Credits: 4
h1 > small: APMA E-207, span #0: Advanced Scientific Computing: Stochastic Methods for Data Analysis, Inference, and Optimization, span #1: Spring Term 2018 | CRN 24932, span #2: Online only, span #3: On Demand, span #4: Jan. 24, 2018, span #5: Noncredit: $2700, span #6: Graduate credit: $2700, span #7: Credits: 4
h1 > small: ARAB E-1, span #0: Intensive Elementary Modern Standard Arabic I, span #1: Fall term 2017 | CRN 13547, span #2: On campus only, span #3: Mondays, Wednesdays, 7:40-9:40 pm, span #4: Sever Hall 107, span #5: Aug. 28, 2017, span #6: Noncredit: $1550, span #7: Undergraduate credit: $1550, span #8: Credits: 4
h1 > small: ARAB E-2, span #0: Intensive Elementary Modern Standard Arabic II, span #1: Spring Term 2018 | CRN 23418, span #2: On campus only, span #3: Mondays, Wednesdays, 7:40-9:40 pm, span #4: Sever Hall 107, span #5: Jan. 22, 2018, span #6: Noncredit: $1550, span #7: Undergraduate credit: $1550, span #8: Credits: 4
